,text,neg,neu,pos,compound,len
42,windwens9 hello unrol thread bertojongman100 covid 19 chri explain exponenti growth mean impact see soon,,,,,
43,coronaviru covid2019 covid19 coronavirusoutbreak greec turkey border turkishpropaganda turkeyisaterrorst istandwithgreec,,,,,
44,coronavirusuk coronavirusireland coronavid19 coronavirusoutbreak panicbuy panickbuy panicbuyinguk panicbuy panicbuy toiletpap toiletrol,,,,,
45,refus handshak older guy today get offend start mutter someth hoax coronavirusoutbreak,,,,,
46,coronavirusuk coronavirusireland coronavid19 coronavirusoutbreak panicbuy panickbuy panicbuyinguk panicbuy panicbuy toiletpap toiletrol,,,,,
47,australian famili accident buy 2 300 toilet roll last 12 year prior coronaviru panic buy australia toiletpaperpan toiletpap coronaviru covid covid19 covid2019 covid 19 coronavirusoutbreak covid 19,,,,,
48,break albania report first 2 case coronaviru bno news covid19 coronavirusoutbreak,,,,,
49,go die due viru pleas decenc make farewel video gover hide number dead speak truth better dispear pit moralist polic state covid19 coronavirusoutbreak 2019ncov,,,,,
50,probabl made recommend week ago opinion share covid19 coronaviru coronavirusoutbreak,,,,,
51,seanhann nepotismwhitehous coronavirusoutbreak,,,,,
52,two student diagnos coronaviru sydney school gt gt gt coronavirusaustralia coronavirusoutbreak,,,,,
53,cop one new shirt coronavirusoutbreak coronaviru coronavirusmem coronavirusinusa,,,,,
54,anytim sneez cough well die good 37 year coronaviru coronavirusoutbreak,,,,,
55,chanc tedcruz stay quarantin perman coronavirusoutbreak,,,,,
56,thank cautiou set import exampl stay well sentedcruz coronavirusoutbreak,,,,,
57,global covid19 case 109 831 confirm 4 60 693 recov 3 803 death case exclud china 29 132 confirm 4 3 373 recov 706 death coronaviru coronavirusupd coronavirusoutbreak,,,,,
58,covid19 coronaviru coronavirusoutbreak opsanaanimam themoreyouknow anonym,,,,,
59,coronaviru covid19 coronavirusoutbreak,,,,,
60,goplead taxpay pay golf white hous appear inform democrat want fund emerg respons part take money program fund low incom home heat assist c,,,,,
61,anyon small children covid19 coronaviru coronavirusoutbreak washyourhand,,,,,
62,ftmdaili statistachart interest anyon bother see correl scotu rule realdonaldtrump admin withhold moni sanctuaryst msm prolifer coronavirusoutbreak mani,,,,,
63,maggi deblock take disproportion measur let viru take cours prevent spread,,,,,
64,keep covid19 coronaviru coronavirusoutbreak,,,,,
65,5g tower roll wuhan week coronaviru outbreak coincid think coronaviru coronavirusoutbreak,,,,,
66,coronavirusoutbreak,,,,,
67,iran lawmak regim lie uncontrol china viru spread 50 dead covid2019 coronavirusoutbreak,,,,,
68,coronaviru covid 19 global case john hopkin csse confirm worldwid 109 835 total confirm unit state 537 coronavirusupd coronavirusoutbreak,,,,,
69,erin tool call govern protect canadian coronaviru canada conserv coronavirusoutbreak,,,,,
70,itali covid19 gt quarantin lockdown gt recess amp unemploy gt social breakdown breakingnew coronavirusoutbreak covid19 covid 19 sar cov 2 sarscov2 coronaviru chrismatenson,,,,,
71,election2020 shake hand kiss babi probabl best strategi go snif hair well matter coronaviru covid19 elect primaries2020 coronavirusoutbreak,,,,,
72,stockmarket open current futur level amp p 500 2830 coronavirusoutbreak wipe gain 2018 2020 anoth 20 zero gain sinc took offic,,,,,
73,19 covid 19 covid19 19 2019 coronaviru tnn tnnthailand tnn 16,,,,,
74,hln maggi deblock take disproportion measur let viru go ahead prevent spread coronaviru coronaviriu covid2019 coronaviru updat covid19 coronavirusoutbreak belgium belgium belgiqu,,,,,
75,jameshamblin prioriti babi coronavirusoutbreak,,,,,
76,due coronavirusoutbreak puff puff pass time high shit naw better disinfect blunt gone puff puff pass,,,,,
77,easi predict coronaviruspandem disastr treason self serv crimin power traitorsinpoweraredestroyingamerica,,,,,
78,corona heal prayer watch youtub coronaitali coronaviru covid19 coronausa itali coronanew coronavirusoutbreak italystaystrong coronaviruschalleng coronavirusfr coronavid19 coronavirusdeutschland coronavirusd italylockdown,,,,,
79,medicareforal wwjd coronavirusoutbreak,,,,,
80,27 covid 19 lancet call aggress control polici develop countri,,,,,
81,covid19 gt quarantin lockdown gt recess amp unemploy gt social breakdown breakingnew coronavirusoutbreak covid19 covid 19 sar cov 2 sarscov2 coronaviru chrismatenson,,,,,
82,tmcginnisct buffylwillow joebiden worri bidensand carri viru coronaviru coronavirusoutbreak,,,,,
83,kinsellawarren well ever coronavirusoutbreak societi may thought toiletpaperapocalyps 2020 bad histori rememb much wors greatvinegardrought,,,,,
84,1 01123978046 coronavirusoutbreak,,,,,
85,bleacherreport brhoop cbssport awww heartwarm need focu vital due kiss floor vulner time year coronaviru coronavirusoutbreak,,,,,
86,news12ct walmart wtnh look like guy readi coronaviru coronavirusoutbreak walmart news coronavid19,,,,,
87,larrykudlow almost contain buy stock bencarson want preview plan especi sinc complet trump everyth perfect coronavirusoutbreak chao hospit due shortag coronaviru test,,,,,
88,danscavino dan troll boss daft trumpviru trumpisanidiot trumpliesaboutcoronaviru coronavirusoutbreak coronavirususa trumpnotfitforoffic,,,,,
89,nickreeves9876 daisybell need giant banner headlin news across uk media tomorrow realli feel like sleepwalk disast particularli gp er medic serious doubt abil cope covid19 cov,,,,,
90,coronaviru coronavirusoutbreak delta airlin suspend flight rome atlanta still fli rome jfk intl dont expect last via forb dal,,,,,
91,buy aloevera gel make hand sanit home coronaviru coronavirusoutbreak coronavirusuk coronavirusitali,,,,,
92,add current coronavirusoutbreak idiotinchief wors potu ever trumpisanidiot biden2020 bidenbeatstrump bidenharri,,,,,
93,fuck join random fivem server beat kid got coronaviru coronaviru coronavirusuk coronavirusoutbreak,,,,,
94,break israel close border egypt africa 1st coronaviru death report i24new covid19 coronavirusoutbreak coronavid19,,,,,
95,gop hoax left coronaviru covid19 coronavirusoutbreak coronavirushoax,,,,,
96,opinion covid19 explos due fact chines recur modern medicin tradit seek remedi consum everi live thing possibl ascrib organ part heal featur coronaviru covid 19 break,,,,,
97,visit buy fresh aloevera gel make sanit home coronaviru coronavirusuk covid19 coronavid19 coronavirusoutbreak,,,,,
98,face scath critic repatri american diamond princess fli infect individu home ship plane one cruelest human experi seen entir career onevoice1 coronavirusoutbreak end,,,,,
99,u citizen die coronavirusoutbreak trump subtweet game live mean noth sick sob,,,,,
100,coronaviru coronavirusoutbreak coronavirusuk,,,,,
101,munmci covid 19fr wwe journeedesdroitsdesfemm covid 19 stade3 coronavirusfr covid2019 coronaviru covid19fr covid19italia reformedesretrait tlsc wwe coronavirusenfr questionscoronaviru coronaoutbreak coronavirusenfr,,,,,
102,coronavirusoutbreak,,,,,
103,stock toilet paper bottl water 2timothy1 7 god given us spirit fear power love sound mind yyc coronavirusoutbreak sundayfunday stuffmypastorsay,,,,,
104,sentedcruz realiti coronavirusoutbreak thank servic senat ted cruz updat self care would prepar us look forward hear prayer stop covid 19,,,,,
105,coronavirusoutbreak wish least leader cool calm direct clue reassur peopl could overcom crisi obama miss yet,,,,,
106,iamjohnoliv lastweektonight want say thank bring modicum joy recent return favor yet seen interview one tik tok vietnames danc boy coronavirusoutbreak covid19 coronavi,,,,,
107,hope one thing come covid19u coronavirusoutbreak end common practic handshak outdat unsanitari practic spread diseas even normal circumst fist bump much better option even best time,,,,,
108,stock aloevera gel make hand sanit home coronaviru coronavirusuk oleout coronavirusireland coronavirusoutbreak,,,,,
109,covid 19,,,,,
110,chadpergram speakerpelosi senschum cours bias fantasi land america sick game pleas stop amp right coronaviru coronavirusoutbreak kag2020landslidevictori,,,,,
111,break sen tedcruz confirm interact person cpac later test posit coronaviru expos prior confer cruz announc self quarantin home coronavirusoutbreak covid19,,,,,
112,amp amp covid2019 corona coronavirusoutbreak,,,,,
113,warn shock video becom nightmar amp still govern noth covid covid19 wuhan coronaviru coronavirusoutbreak coronavirusdeath coronavirustruth covid19uk covid 2019 covid 19 coronviru coronaalert covid 19,,,,,
114,jeaninesantucci joshnbcnew safe texa senat tedcruz self quarantin next 5 year coronaviru coronavirusoutbreak cruzcooti,,,,,
115,actual contain spread maggi deblock coronaviru coronaviriu covid2019 coronaviru updat covid19 coronavirusoutbreak belgium belgiqu belgium flander close school coronavid19,,,,,
116,wonder iran economi covid19 gt quarantin lockdown gt recess amp unemploy gt social breakdown breakingnew coronavirusoutbreak covid19 covid 19 sar cov 2 sarscov2 coronaviru chrismatenson,,,,,
117,coronavirusoutbreak,,,,,
118,covid 19 19,,,,,
119,ha theeconomist 2019 alert everyon pandem panda happen top world news would look 4 horsemen coronavirusoutbreak,,,,,
120,idiot squat n oval offic amp corrupt administr say coronaviru hoax trumpviru trumpcoverup coronavirusoutbreak pandem sundaythought covid19 munmci mufc covid internationalwomensday,,,,,
121,good question ask ahead pandem 1 need treat non emerg ill home fever reduc 1st aid rehydr 2 enough food last month 3 keep moral 4 ga cash coronaviru coronavirusoutbreak,,,,,
122,coronavirusoutbreak coronavirususa,,,,,
123,shimonpro safe texa senat tedcruz self quarantin next 5 year coronaviru coronavirusoutbreak cruzcooti,,,,,
124,minu 2 week lock sundaythought coronavirusoutbreak,,,,,
125,coronavirususa coronavirusoutbreak,,,,,
126,buy doom sell boom asx commod ftse stockmarket auspol coronaviru covid 19 pandemicprepared asx plung open coronaviru spread,,,,,
127,dedic quarantinecent center becom must everi countri world pay much attens adher prevent coronavirusoutbreak covid19 much prevent measur though peopl never follow unfortun,,,,,
128,wtf take venn diagram hat protest vaccin speak like econom inequ concentr circl coronavirusoutbreak covid19,,,,,
129,coronavirusoutbreak geez peopl get inform coronavirusoutbreak fb group,,,,,
130,say drill coronaviru infect near 100 000 cnn covid 19 coronavirusoutbreak,,,,,
131,bad fourth estat truth dumptrump coronavirusoutbreak,,,,,
132,chefjoseandr wckitchen princesscruis hero think pathet cruis ship compani govern take care impotu coronavirusupd coronaviru coronavirusoutbreak trump failur l,,,,,
133,peopl coronaviru 60 itali kill enough respir everyon coronavirusupd coronavirusoutbreak,,,,,
134,uk need start covid19 covid 19 coronaviru,,,,,
135,global covid19 case 109 832 confirm 1 60 702 recov 9 3 803 death case exclud china 29 133 confirm 1 3 373 recov 706 death coronaviru coronavirusupd coronavirusoutbreak,,,,,
136,categori 1 countri close contact someon confirm covid 19 need self isol 14 day visit latest info faq get touch us affect,,,,,
137,u economist reassess forecast coronaviru pretti usa economi covid19 covid2019 covid 19 coronavirusoutbreak coronavirususa coronavirusni pandem,,,,,
138,coachella fate uncertain amid public emerg counti confirm first coronaviru case coronavirusoutbreak coronaviru corvid19 coachella2020 coachella,,,,,
139,poorli educ intellectu lazi maga folk could stand reduc number believ even democrat sundaythought coronavirusoutbreak coronaviru,,,,,
140,3 8 24 nation health commiss china death toll 22 21 18 total 3119 confirm case 40 wuhan hubei 36 total 80735 sarscov2 coronavirusoutbreak covid19,,,,,
141,nero trump fiddl coronaviru kill american real hoax fake photo produc dan scavino trump administr way motiv base coronavirusupd covid19 coronavirusoutbreak trumpfail,,,,,
142,drdenagrayson tedcruz doubt cruz use execut privileg get test safe texa senat tedcruz self quarantin next 5 year coronaviru coronavirusoutbreak cruzcooti,,,,,
143,shock italian say lock home dead sister respons author ask peopl post video translat english comment coronavirusbrasil coronavirusoutbreak coronavirusitalla,,,,,
144,employe eli lilli ask work home due coronaviru concern coronavirusoutbreak covid19 covid2019 covid19usa covid19coverup covid19itali china pandem pandemicprepared,,,,,
145,guy listen coronaviru coronavid19 covid19 coronavirusoutbreak drmike listentothi doctor fact check media coronaviru,,,,,
146,thread covid19 coronaviru coronavirususa coronavirusoutbreak besaf protect protect other especi elderli amp health issu,,,,,
147,howiemandel want shake hand feet coronavirusoutbreak stop us,,,,,
148,china report 31 new case 21 new death bring total confirm case 80 734 3 119 total death 39 new case 22 new death report today coronaviru covid19 coronavirusoutbreak,,,,,
149,updat coronaviru date total 3 827 total death 109 967 total covid19 case confirm worldwid total 29 233 case 708 death report outsid china coronavirusoutbreak,,,,,
150,wwe anoth thought folk think irrespons continu huge event among coronavirusoutbreak sweep countri keep talent protect protect audienc,,,,,
151,scottwapnercnbc pappi alway said expect best prepar worst given coronavirusoutbreak amp trump lie public one panic stockmarket tumbl amp suck economi fret abou,,,,,
152,break news ironi infect coronavirusoutbreak,,,,,
153,demand congress add emerg short term ubi covid19 fund bill support hourli worker emerg expens without paid leav afford miss work due coronaviru sign petit via chang coronavirusoutbreak,,,,,
154,realdonaldtrump liar coronaviru coronavirusoutbreak trumpisanidiot trumpunfitforoffic,,,,,
155,tedcruz self quarantin contact coronaviru patient saturday join houstonfir firefightersh houston fire depart annual memori ceremoni coronaviru coronavirusoutbreak coronaviru coronavirususa,,,,,
156,realdonaldtrump come coronavirusoutbreak,,,,,
157,usa covid19 gt quarantin lockdown gt recess amp unemploy gt social breakdown breakingnew coronavirusoutbreak covid19 covid 19 sar cov 2 sarscov2 coronaviru chrismatenson,,,,,
158,egyptian govern conduct medic examin egyptian wish work abroad ensur infect coronaviru egypt covid19 coronavirusoutbreak coronavid19 internationalwomensday,,,,,
159,coronavirusespana coronavirusesp coronavirusmadrid coronaviru coronavirus coronavirusesp coronavirusespa covid19 covid 19 covid19spain covid 19 covidespa covid19,,,,,
160,israel soapi claim hand wash solut kill coronaviru hand via israel21c medtech healthtech tech scienc greentech healthnew covid19 coronavirusoutbreak,,,,,
161,could microscop organ ultim take presid stay tune covid19 coronaviru coronavirususa coronavirusoutbreak,,,,,
162,wakeupamerica coronaviru coronavirusoutbreak covid19 covid2019,,,,,
163,danger itali fallen icu bedrat newyork told get readi coronaviru 28dayincubationperiod coronavirusoutbreak coronaviu covid19 antibodydependantenhancementviru pandem flawedtestkit multiphasicviru,,,,,
164,best underr movi ever made underdog prove wrong love democraticdeb internationalwomensday coronaviru sundaythought sundayfunday theriseofskywalk coronavirusoutbreak seductivesunday truth truthbomb truthbetold truthwin linux fun,,,,,
165,prime minist benjamin netanyahu say israel may broaden entri restrict includ visitor countri due spread coronaviru covid 19,,,,,
166,coronaviru coronavid19 coronavirusoutbreak coronavirusupd coronaviru,,,,,
167,potu gop said coronavirusoutbreak hoax stockmarketcrash jazzfest travel covid19 iwd2020 pandem grandprincesscruis michiganprimari detroit floridaprimari floridacoronaviru mattgaetz tedcruz penc gopcoverup trumpviru,,,,,
168,tribelaw coronaviru coronavirusoutbreak trumpisanidiot trumpunfitforoffic,,,,,
169,realdonaldtrump trumpisanidiot covid19 coronavirusoutbreak coronaviru trumpviru coranoviru,,,,,
170,coronavirusoutbreak viral epidem onlin infodem govern stupidem lead global pandem,,,,,
171,getqardio continu bp measur coronavirusoutbreak coronavirusuk reduc risk help gp amp nhsengland send result contact practic ask add result medic record reduc non urgent visit virgincar,,,,,
172,went local hardwar store mask respir suppos deep red conserv area new jersey wonder trump support still think hoax covid19 coronaviru coronavid19 coronavirusoutbreak,,,,,
173,impress fact effect measur china took wuhan hubei provinc manag coronavirusoutbreak,,,,,
174,act especi respect done woman march 8 8 march,,,,,
175,get closer home edmonton senior grow concern coronaviru coronavirusoutbreak covid19 covid2019 covid19usa covid19coverup covid19itali china pandem pandemicprepared,,,,,
176,coronavirusoutbreak smart use alcomet dtptraffic delhi traffic polic issu advisori holi,,,,,
177,ted cruz announc go self quarantin expos coronavirusoutbreak twitter react would expect savag af,,,,,
178,notic cruis commerci sundaythought coronavirusoutbreak,,,,,
179,realdonaldtrump strategi donald reflect uglin less avail test mean lower number case make look good sick mind kill citizen care coronaviru coronavirusoutbreak morningjo,,,,,
180,abc2020 talk l strain coronaviru one aggress one like warm weather vs pleas help us understand thank coronavirususa covid2019 coronavirus,,,,,
181,never forget never forgiv hongkong hongkongprotest hkpolicebrut hkpoliceterrorist hongkongpolicebrut hkpolicest 5demandsnot1less standwithhongkong china terrorist coronavirusoutbreak coronaviru coronavid19,,,,,
182,coronavirusoutbreak coronavirususa,,,,,
183,god follow youtub poppabag coronaviru coronavirusoutbreak corona coronavirusupd coronaviruschalleng viru,,,,,
184,figur keep get wors expect get bad china keep rise countri strict measur china coronaviru covid19 covid 19 covid 19,,,,,
185,coronavirusoutbreak newsymaven larri kudlow contain airtight contain mayb airtight contain seem thing tight larri alway in2 contain resigntrump lorax58,,,,,
186,michigan michiganprimari missouri missouriprimari northdakota idaho mississippi washington demslivingabroad sundaythought sundaymotiv union nafta labor medicareforal coronavirusoutbreak nurs berniebeatstrump bernie2020 berniegonnadoit notmeu vote,,,,,
187,coronaviru love one understand prepar think lost besid data watch answer coronavirusd covid 19 covid19 ncov19 ncov ncov2020 nederland netherland deutschland germani,,,,,
188,michigan michiganprimari missouri missouriprimari northdakota idaho mississippi washington demslivingabroad sundaythought sundaymotiv union nafta labor medicareforal coronavirusoutbreak nurs berniebeatstrump bernie2020 berniegonnadoit notmeu vote,,,,,
189,lizgeorge27 michigan michiganprimari missouri missouriprimari northdakota idaho mississippi washington demslivingabroad sundaythought sundaymotiv union nafta labor medicareforal coronavirusoutbreak nurs berniebeatstrump berni,,,,,
190,hongkong hongkong protest hkpolicebrut hkpoliceterrorist hongkongpolicebrut hkpolicest 5demandsnot1less standwithhongkong china terrorist coronavirusoutbreak coronaviru coronavid19,,,,,
191,coronavirusoutbreak india though 2nd popul countri world even top 10 effect counti list due effici inabl report correct number moayush,,,,,
192,certainli trump leadership coronavirusoutbreak unfittobepresid gophypocrisi,,,,,
193,covid 19 covid19 19 2019 coronaviru tnn tnnthailand tnn 16,,,,,
194,shock bulgaria get hit slightli earlier though shock maldiv covid19 coronavirusoutbreak,,,,,
195,letter felt safer hong kong sar respons blame social media coronavirusoutbreak coronavirusoutbreakallstori,,,,,
196,coronaviru hidden cost aggress contain coronavirusoutbreak coronavirusoutbreakallstori,,,,,
197,supermarket surg buoy octopu even transport number dip coronavirusoutbreak coronavirusoutbreakallstori,,,,,
198,husband said underestim coronaviru proven right belgian quarantin itali testifi covid2019 covid19 coronavirusoutbreak coronaviru belgium belgium belgiqu flander coronaviru updat,,,,,
199,time movi rogu doctor govern offici band togeth releas inform test kit despit narcissist evil presid order coronavirusoutbreak wherearethetest,,,,,
200,4 new case corona viru philippin bring total 10 case ma marami pa realli prepar ingat na lang po mga kababayan covid19 covid19ph coronavirusoutbreak keepsafepilipina pctto,,,,,
201,global covid19 case 109 835 confirm 3 60 709 recov 7 3 803 death case exclud china 29 136 confirm 3 3 373 recov 706 death coronaviru coronavirusupd coronavirusoutbreak,,,,,
202,disgust hongkong hongkongprotest hkpolicebrut hkpoliceterrorist hongkongpolicebrut hkpolicest 5demandsnot1less standwithhongkong boycottmulan china terrorist coronavirusoutbreak coronaviru coronavid19,,,,,
203,nytim senat ted cruz self quarantin week interact person conserv polit action confer sinc test posit coronaviru coronaviru coronavirusoutbreak,,,,,
204,potabl aqua water purif treatment 100 tablet ad coronaviru corona viru coronavirusoutbreak covid2019 wuhanviru coronavirususa pandem sarscov2 china wuhan flu covid 19 coronaoutbreak covid19,,,,,
205,self isol like sentedcruz come contact covid 19 infect person like peopl,,,,,
206,coronavirusoutbreak sosnicaragua 8m2020 murder sandinista govern affirm blue white patient care punish armi,,,,,
207,covid 19 short term solut covid2019 covid19 covid coronaviru coronavirusoutbreak coronavid19 covid19italia,,,,,
208,dr bruce aylward leader w h team visit china assess countri respons coronaviru outbreak coronavirusni coronaviru coronavirusoutbreak coronavid19 coronavirususa,,,,,
209,arrest citizen hongkong hongkongprotest hkpolicebrut hkpoliceterrorist hongkongpolicebrut hkpolicest 5demandsnot1less standwithhongkong boycottmulan china terrorist coronavirusoutbreak coronaviru coronavid19,,,,,
210,cdc receiv word test perform expect state lab get inconclus result appar one reagent use test perform consist coronaviru covid19 coronavirusoutbreak,,,,,
211,murder hongkong hongkongprotest hkpolicebrut hkpoliceterrorist hongkongpolicebrut hkpolicest 5demandsnot1less standwithhongkong boycottmulan china terrorist coronavirusoutbreak coronaviru coronavid19,,,,,
212,avril stock market oil marker carnag asia first covid19 coronaviru outbreak,,,,,
213,univers puget sound tacoma latest turn virtual class coronaviru sarscov2 coronavirusoutbreak covid19,,,,,
214,let check countri switzerland 337 sweden 203 oman 16 denmark 35 germani 1040 netherland 265 greec 73 coronaviru coronavirusoutbreak covid covid2019 covid19,,,,,
215,vp mike penc announc march 6 detect effect respond coronavirusoutbreak commerci laboratori would make test avail reliev nationwid shortag diagnost test,,,,,
216,hey sentedcruz know happen sell soul devil peopl give damn contract coronaviru tedcruz payback coronavirusoutbreak,,,,,
217,dr grayson actual number coronaviru case us coronavirusoutbreak like snowbal fall earli detect contact trace amp quarantin slow stop spread trumpbungl test cost live,,,,,
218,mitchellvii monicaannpoggi agre dem use coronaviru rig elect panic never help howev covid19 spread easier flu higher mortal rate new viru use seriou,,,,,
219,southern region take measur avoid peopl north come toward covid 19 revers mean thing stupid trust covid19italia,,,,,
220,import case coronaviru spread public transport covid19 coronavirusoutbreak,,,,,
221,coronaviru coronavirusoutbreak coronavirusupd maga kag2020 donaldjtrumpjr realdonaldtrump realjameswood watchchad markdic mchooyah lindasuhl tomilahren greggutfeld dbongino marklevinshow erictrump tuckercarlson seanhann nra judgejoebrowntv,,,,,
222,kailwisdom spokanetom jeremynewberg next week hear coronavirusoutbreak hoax trump go meltdown trumpnotfitforoffic trumpcoronacoverup,,,,,
223,realdonaldtrump busi buy trump fix proclam coronavirusoutbreak stockmarketcrash dow futur tumbl 1 000 point oil price war add coronaviru stress,,,,,
224,billdeblasio need wake current 100 case nyc peopl test coronaviru covid19 coronavirusoutbreak reuter new york citi could hit 100 coronaviru case two three week mayor,,,,,
225,return knower unseen deceiv icebokx factcheck internationalwomensday oleout mufc iwd2020 covid19 coronavirusoutbreak sundaythought dialo realbetisrealmadrid ggmu bolar,,,,,
226,respect iwd2020 hongkong hongkong protest hkpolicebrut hkpoliceterrorist hongkongpolicebrut hkpolicest 5demandsnot1less standwithhongkong boycottmulan china terrorist coronavirusoutbreak coronaviru coronavid19,,,,,
227,coronaviru incub period 27 day report hubei provinc local govern feb 22 covid covid 19 sarscov2 wuhancoronaviru coronavirusoutbreak,,,,,
228,jeremykonyndyk iluvmarthasvi scottgottliebmd think might want chang may almost certainli coronaviru coronavirusoutbreak,,,,,
229,scmp hong kong airlin talk air china other strateg lifelin earlier white knight balk hna group price sarscov2 coronavirusoutbreak covid19,,,,,
230,watch movi outbreak open scene netflix coronaviru coronavirusoutbreak outbreak,,,,,
231,older famili franc stay hous take 3 week save least one life peopl world need disciplin franc disciplin corona coronaviru coronavirusoutbreak coronavid19,,,,,
232,realdonaldtrump kellyannepol mattgaetz contain pretti sure heard least 1 say coronaviru coronavirusoutbreak pencepandem,,,,,
233,stevenbeschloss get barack obama left whole world perfect glide path ultim intellig wizard leav cdc nih perfect progress plan obama halper coronavirusoutbr,,,,,
234,cagovernor gavinnewsom libbyschaaf pleas let go non activ militari base local hospit activ base alreadi share coronavirususa coronavirusoutbreak,,,,,
235,tedcruz stay home hoax coronavirusoutbreak,,,,,
236,sentedcruz need self quarantin rememb realdonaldtrump say coronaviru hoax like cold go thru thing go hang ur gop bud coronavirusoutbreak,,,,,
237,coronavirusoutbreak wow coronaviru travelindustri,,,,,
